rpu,billPeriodStart,billPeriodEnd,subTotal,kwh
477211203189,2023-08-08,2023-10-06,15832.67,3493.0
477211203189,2023-06-07,2023-08-08,15869.62,3456.0
477211203189,2023-04-05,2023-06-07,14631.03,3249.0
477211203189,2023-02-03,2023-04-05,12254.3,2787.0
477211203189,2022-12-07,2023-02-03,9495.52,2195.0
477211203189,2022-10-06,2022-12-07,12424.88,2829.0
477211203189,2022-08-08,2022-10-06,11921.54,2725.0
477211203189,2022-06-07,2022-08-08,12652.02,2913.0
477211203189,2022-04-05,2022-06-07,13622.03,3131.0
477211203189,2022-02-03,2022-04-05,10015.8,2372.0
477211203189,2021-12-15,2022-02-03,1598.38,371.0
433210602309,2025-03-03,2025-05-02,20489.63,4402.0
433210602309,2025-01-02,2025-03-03,12741.95,2732.0
433210602309,2024-10-31,2025-01-02,14711.59,3190.0
433210602309,2024-09-02,2024-10-31,15983.01,3429.0
433210602309,2024-07-02,2024-09-02,17073.21,3664.0
433210602309,2024-05-02,2024-07-02,,4139.0
433210602309,2024-03-01,2024-05-02,16203.67,3561.0
433210602309,2024-01-03,2024-03-01,10757.61,2387.0
433210602309,2023-11-02,2024-01-03,12230.02,2729.0
433210602309,2023-09-04,2023-11-02,15796.97,3482.0
433210602309,2023-07-04,2023-09-04,19616.63,4304.0
433210602309,2023-05-04,2023-07-04,19949.94,4389.0
433210602309,2023-03-03,2023-05-04,14876.63,3357.0
433210602309,2023-01-03,2023-03-03,9682.17,2225.0
433210602309,2022-11-02,2023-01-03,10978.95,2498.0
433210602309,2022-09-02,2022-11-02,12176.7,2776.0
433210602309,2022-07-04,2022-09-02,,2662.0
433210602309,2022-05-04,2022-07-04,,3205.0
433210602309,2022-03-03,2022-05-04,,2824.0
433210602309,2022-01-03,2022-03-03,,1971.0
433210602309,2021-11-02,2022-01-03,,2121.0
433210602309,2021-09-02,2021-11-02,,2755.0
433210602309,2021-07-02,2021-09-02,,1340.0
433210602309,2021-06-23,2021-07-02,,4.0
454121000220,2025-04-24,2025-06-24,13880.91,2977.0
454121000220,2025-02-24,2025-04-24,14701.78,3154.0
454121000220,2024-12-24,2025-02-24,13636.1,2928.0
454121000220,2024-10-24,2024-12-24,14326.86,3072.0
454121000220,2024-08-26,2024-10-24,15746.43,3378.0
454121000220,2024-06-24,2024-08-26,18375.71,3967.0
454121000220,2024-04-24,2024-06-24,20352.33,4477.0
454121000220,2024-02-23,2024-04-24,16565.99,3641.0
454121000220,2023-12-26,2024-02-23,12672.95,2815.0
454121000220,2023-10-25,2023-12-26,14712.06,3270.0
454121000220,2023-08-25,2023-10-25,17091.48,3772.0
454121000220,2023-06-26,2023-08-25,18388.19,4007.0
454121000220,2023-04-24,2023-06-26,19089.55,4244.0
454121000220,2023-02-22,2023-04-24,15759.76,3589.0
454121000220,2022-12-26,2023-02-22,12195.75,2824.0
454121000220,2022-10-25,2022-12-26,13032.09,2968.0
454121000220,2022-08-25,2022-10-25,14188.09,3246.0
454121000220,2022-06-24,2022-08-25,,3490.0
454121000220,2022-04-26,2022-06-24,,3645.0
454121000220,2022-02-23,2022-04-26,,3523.0
454121000220,2021-12-24,2022-02-23,,2946.0
454121000220,2021-10-25,2021-12-24,,2837.0
454121000220,2021-08-25,2021-10-25,,3320.0
454121000220,2021-06-25,2021-08-25,,3460.0
454121000220,2021-04-26,2021-06-25,,3681.0
454121000220,2021-02-22,2021-04-26,,3604.0
454121000220,2020-12-24,2021-02-22,,2580.0
454121000220,2020-10-23,2020-12-24,,2831.0
454181201518,2025-01-30,2025-04-02,11432.2,2449.0
454181201518,2024-12-02,2025-01-30,11935.79,2585.0
454181201518,2024-10-02,2024-12-02,15945.9,3421.0
454181201518,2024-08-02,2024-10-02,16831.96,3612.0
454181201518,2024-06-03,2024-08-02,16834.93,3633.0
454181201518,2024-04-02,2024-06-03,17304.24,3804.0
454181201518,2024-01-31,2024-04-02,15556.0,3418.0
454181201518,2023-12-01,2024-01-31,14301.89,3179.0
454181201518,2023-10-02,2023-12-01,18101.08,4027.0
454181201518,2023-08-03,2023-10-02,19505.35,4307.0
454181201518,2023-06-02,2023-08-03,20870.2,4550.0
454181201518,2023-03-31,2023-06-02,18238.16,4054.0
454181201518,2023-01-31,2023-03-31,16140.03,3676.0
454181201518,2022-12-02,2023-01-31,17587.63,4080.0
454181201518,2022-10-03,2022-12-02,19916.7,4544.0
454181201518,2022-08-03,2022-10-03,20030.66,4589.0
454181201518,2022-06-02,2022-08-03,27229.02,6287.0
454181201518,2022-03-31,2022-06-02,31515.43,7264.0
454181201518,2022-01-31,2022-03-31,22783.55,5416.0
454181201518,2021-12-02,2022-01-31,21179.02,5060.0
454181201518,2021-10-04,2021-12-02,,5243.0
454181201518,2021-09-22,2021-10-04,,1033.0
454181201518,2021-07-22,2021-08-20,,2441.0
454181201518,2021-06-21,2021-07-22,,2727.0
454181201518,2021-05-24,2021-06-21,,2852.0
454181201518,2021-04-22,2021-05-24,,3143.0
454181201518,2021-03-23,2021-04-22,,2818.0
454181201518,2021-02-18,2021-03-23,,2619.0
454181201518,2021-01-20,2021-02-18,,1879.0
454181201518,2020-12-21,2021-01-20,,1759.0
434181200308,2025-03-03,2025-05-02,12684.39,2719.0
434181200308,2025-01-02,2025-03-03,9857.92,2110.0
434181200308,2024-10-31,2025-01-02,17501.16,3798.0
434181200308,2024-09-02,2024-10-31,17959.28,3855.0
434181200308,2024-07-02,2024-09-02,18362.86,3942.0
434181200308,2024-05-02,2024-07-02,,5093.0
434181200308,2024-03-01,2024-05-02,19491.8,4287.0
434181200308,2024-01-03,2024-03-01,13303.94,2956.0
434181200308,2023-11-02,2024-01-03,13909.51,3106.0
434181200308,2023-09-04,2023-11-02,14505.42,3196.0
434181200308,2023-07-04,2023-09-04,19798.28,4344.0
434181200308,2023-05-05,2023-07-04,21236.14,4673.0
434181200308,2023-03-06,2023-05-05,20287.59,4584.0
434181200308,2023-01-05,2023-03-06,13474.15,3103.0
434181200308,2022-11-03,2023-01-05,13591.25,3096.0
434181200308,2022-09-05,2022-11-03,13978.38,3189.0
434181200308,2022-07-05,2022-09-05,,3296.0
434181200308,2022-05-05,2022-07-05,,4019.0
434181200308,2022-03-04,2022-05-05,,4647.0
434181200308,2022-01-05,2022-03-04,,2918.0
434181200308,2021-11-03,2022-01-05,,2551.0
434181200308,2021-09-03,2021-11-03,,3095.0
434181200308,2021-07-05,2021-09-03,,2933.0
434181200308,2021-05-04,2021-07-05,,3395.0
434181200308,2021-03-03,2021-05-04,,3361.0
434181200308,2021-01-04,2021-03-03,,2328.0
434181200308,2020-11-02,2021-01-04,,2569.0
507070604989,2025-03-05,2025-05-06,1479.71,303.0
507070604989,2025-01-06,2025-03-05,144.04,15.0
507070604989,2024-11-04,2025-01-06,11206.27,2426.0
507070604989,2024-09-04,2024-11-04,9451.16,2021.0
507070604989,2024-07-04,2024-09-04,10351.15,2215.0
507070604989,2024-05-06,2024-07-04,13857.6,3043.0
507070604989,2024-03-05,2024-05-06,16588.64,3646.0
507070604989,2024-01-05,2024-03-05,12401.85,2744.0
507070604989,2023-11-06,2024-01-05,11909.26,2657.0
507070604989,2023-09-06,2023-11-06,12902.27,2841.0
507070604989,2023-07-06,2023-09-06,14317.4,3137.0
507070604989,2023-05-08,2023-07-06,15529.73,3413.0
507070604989,2023-03-07,2023-05-08,13668.31,3083.0
507070604989,2023-01-06,2023-03-07,10861.22,2498.0
507070604989,2022-11-04,2023-01-06,11511.89,2620.0
507070604989,2022-09-06,2022-11-04,11513.62,2624.0
507070604989,2022-07-06,2022-09-06,,2778.0
507070604989,2022-05-06,2022-07-06,,3176.0
507070604989,2022-03-07,2022-05-06,,3028.0
507070604989,2022-01-06,2022-03-07,,2587.0
507070604989,2021-11-04,2022-01-06,,2770.0
507070604989,2021-09-06,2021-11-04,,2790.0
507070604989,2021-07-07,2021-09-06,,2873.0
507070604989,2021-05-06,2021-07-07,,3788.0
507070604989,2021-03-05,2021-05-06,,4472.0
507070604989,2021-02-17,2021-03-05,,2228.0
507070604989,2020-01-08,2021-01-07,,10264.0
456071100221,2025-04-02,2025-06-03,16408.46,3522.0
456071100221,2025-01-30,2025-04-02,14664.69,3146.0
456071100221,2024-12-02,2025-01-30,13578.32,2943.0
456071100221,2024-10-02,2024-12-02,17903.61,3843.0
456071100221,2024-08-02,2024-10-02,20603.56,4425.0
456071100221,2024-06-03,2024-08-02,22776.61,4921.0
456071100221,2024-04-02,2024-06-03,26090.69,5744.0
456071100221,2024-01-31,2024-04-02,19034.34,4186.0
456071100221,2023-12-01,2024-01-31,15420.66,3429.0
456071100221,2023-10-02,2023-12-01,18342.83,4081.0
456071100221,2023-08-03,2023-10-02,21310.11,4707.0
456071100221,2023-06-02,2023-08-03,21203.86,4623.0
456071100221,2023-03-31,2023-06-02,17655.65,3924.0
456071100221,2023-01-31,2023-03-31,12673.89,2883.0
456071100221,2022-12-02,2023-01-31,11238.45,2601.0
456071100221,2022-10-03,2022-12-02,13246.15,3017.0
456071100221,2022-08-03,2022-10-03,14231.58,3256.0
456071100221,2022-06-02,2022-08-03,15680.59,3614.0
456071100221,2022-03-31,2022-06-02,17691.67,4071.0
456071100221,2022-01-31,2022-03-31,12222.05,2898.0
456071100221,2021-12-02,2022-01-31,11503.24,2741.0
456071100221,2021-10-04,2021-12-02,,2949.0
456071100221,2021-08-02,2021-10-04,,3531.0
456071100221,2021-06-02,2021-08-02,,3469.0
456071100221,2021-03-31,2021-06-02,,3830.0
456071100221,2021-01-29,2021-03-31,,2852.0
456071100221,2020-12-01,2021-01-29,,2348.0
456071100221,2020-10-01,2020-12-01,,2738.0
456071100221,2020-07-31,2020-10-01,,3357.0
456071100221,2020-06-01,2020-07-31,,3608.0
456071100221,2020-03-30,2020-06-01,,3446.0
456071100221,2020-01-29,2020-03-30,,3012.0
466190400483,2025-03-06,2025-05-07,29264.15,6294.0
466190400483,2025-01-07,2025-03-06,27231.63,5857.0
466190400483,2024-11-05,2025-01-07,30168.89,6559.0
466190400483,2024-09-05,2024-11-05,33194.07,7139.0
466190400483,2024-07-05,2024-09-05,35430.12,7621.0
466190400483,2024-05-07,2024-07-05,38776.7,8545.0
466190400483,2024-03-07,2024-05-07,39052.97,8606.0
466190400483,2024-01-08,2024-03-07,27095.53,6015.0
466190400483,2023-11-07,2024-01-08,27554.88,6169.0
466190400483,2023-09-07,2023-11-07,34705.04,7669.0
466190400483,2023-07-07,2023-09-07,37239.88,8185.0
466190400483,2023-05-09,2023-07-07,39265.69,8654.0
466190400483,2023-03-08,2023-05-09,36718.87,8310.0
466190400483,2023-01-07,2023-03-08,27519.22,6355.0
466190400483,2022-11-07,2023-01-07,27565.76,6295.0
466190400483,2022-09-07,2022-11-07,32636.36,7466.0
466190400483,2022-07-07,2022-09-07,,7557.0
466190400483,2022-05-09,2022-07-07,,7505.0
466190400483,2022-03-08,2022-05-09,,5439.0
466190400483,2022-01-07,2022-03-08,,4291.0
466190400483,2021-11-05,2022-01-07,,4395.0
466190400483,2021-09-07,2021-11-05,,5071.0
466190400483,2021-07-07,2021-09-07,,6681.0
466190400483,2021-05-06,2021-07-07,,7496.0
